full_text,Sentiment
"BNP senior leader Nazrul Islam Khan on Friday (23 February) expressed high hope that there must be a change in the government through the opposition's ongoing movement for the 'restoration of democracy'.

He also said Awami League should not talk about the success or failure of https://t.co/DtLMmsKbsB",P
"Prime Minister #SheikhHasina suggested that the #Muslim countries introduce a common currency like the #euro of the #EuropeanUnion to facilitate trade and commerce among them.
""It would be very good if we can introduce a common currency"" , she said during her meeting with D-8 https://t.co/7KnVO1AtST",P
"Congratulations to @BCBtigers for clinching their first victory in the ICC T20 World Cup.
#JoyBangla @ICC @T20WorldCup https://t.co/hdkHCqa6c7",P
"â€œThe results speak to your leadership and dedication to driving the remarkable development of Bangladesh over the past years,â€ reads the congratulatory letter sent by former UK PM Tony Blair to #SheikhHasina for her reelection for the fourth consecutive term. https://t.co/EkwP5158vb",P
"Victoria, the Crown Princess of #Sweden has paid a courtesy call to HPM #SheikhHasina today at the Pan Pacific Sonargoan during her four-day visit to #Bangladesh as the Goodwill Ambassador of @UNDP. 
@SwedeninBD @BDMOFA @DrHasanMahmud62 @SwedenAmbBD https://t.co/3aFCKmH9Ws",P
"Today marks the 54th #IndependenceDay of #Bangladesh. Our respect goes out to the heroes who fought in the war, campaigned for us around the world, recognized us defying foreign pressures and helped us during the tumultuous times of the #LiberationWar. 
We Thank You!
#26thMarch https://t.co/AwZeiMYlsU",P
Chittagong City Corporation has changed the name of Pran Hari Das Road to Loharpol Road. This road has been built with Pran Hari Das's own initiative and funding. The Mayor of Chittagong City Corporation is an Awami League leader. https://t.co/hMJ0nCT42J,P
"The President of Sri Lanka Mr Ranil Wickremesinghe paid a courtesy call to PM #SheikhHasina today at the ITC Hotel in Delhi. During the meeting, PM sought Lankan investment in Bangladesh's tourism sector.
@MFA_SriLanka @RW_UNP @BDMOFA https://t.co/8uELoQcUvi",P
"Prime Minister #SheikhHasina had a meeting with the President of China HE Xi Jinping today at the Great Hall of People in Beijing. Earlier, PM had a meeting with Chinese PM Li Qiang at the same venue. 
#Bangladesh #BangladeshChinaFriendship https://t.co/4mWDAesrwR",P
"In many respects, the #LanguageMovement of 1952 was more than a movement to defend the #Bengali language; it was an endeavour to defend all that we hold dear in terms of national #culturalidentity. And now, for more than a decade, the whole world celebrates â€˜Amor Ekusheyâ€™ with us https://t.co/3uje5EpVt5",P
"Prime Minister #SheikhHasina welcomed His Highness the Emir of Qatar Sheikh Tamim bin Hamad Al Thani with flowers when he arrived at the Prime Minister's office today, Tuesday 23 April 2024, and had a meeting with the Emir.

Photo: BSS/Saiful Islam Kallol.
@QatarEmb_dhaka https://t.co/ratfgYcHiN",P
"Prime Minister #SheikhHasina has put emphasis on holding inter-school, college and university-level #sports tournaments regularly for the development of the country's youth.
She said physical exercise sports not only help create bonds but also help create atmospheres of https://t.co/tX4p5S73cY",P
"Prime Minister #SheikhHasina on Thursday congratulated Vladimir Putin on his reelection as the President of #Russia.
@KremlinRussia_E won Russian election in landslide for the fifth term on Sunday.
@RussEmbDhaka @BDMOFA https://t.co/FFvMR16gii",P
"The European Union (EU) wants to take the partnership and cooperation with Bangladesh to a new height, said its ambassador on Thursday (January 18, 2024).

Ambassador @CWhiteleyEU made the remarks while paying a courtesy call to Prime Minister #SheikhHasina at her official https://t.co/p07zfmVcPY",P
"A Brazilian delegation led by Foreign Minister Mauro Vieira has paid a courtesy call to HPM #SheikhHasina today. During the visit, Prime Minister suggested that #Brazil can import readymade garments directly from #Bangladesh, making it more affordable for Brazil. 
@Itamaraty_EN https://t.co/tkNRLo4AOC",P
Prime Minister #SheikhHasina and the central leaders of #AwamiLeague have paid respects to the Father of the Nation Bangabandhu Sheikh Mujibur Rahman today marking the historic #SixPoints Movement. https://t.co/8Z7yGqweGE,P
"#Ramadan Mubarak to everyone here and abroad... 
Letâ€™s be inspired by the teachings of the #holyRamadan and avoid all indulgences, hatred, over-enthusiasm and conflict, and protect the sanctity of Ramadan by showing modesty, patience and restraint in all walks of life. https://t.co/rkBeX8aE4m",P
"The streets in the capital wore a celebratory look this evening, as people from all walks of lives took part, in thousands, at a celebratory rally marking the 75th anniversary of #Bangladesh #AwamiLeague.

Carrying national flags and party flags, rally participants chanted https://t.co/8v0BrwR0dS",P
"Edimon Ginting, the Country Director of @ADB_Bangladesh has congratulated #SheikhHasina on her re-election as the Prime Minister of Bangladesh for the fifth time. He paid a visit to HPM today at Ganabhaban and handed over a congratulatory message from @ADBPresident Masatsugu https://t.co/QywlLsTcRV",P
"HPM #SheikhHasina has exchanged greetings on #EidDay today with the leaders and activists of #AwamiLeague. 
#EidMubarak #EidulFitr https://t.co/DWH7eSdQT1",P
"UN Sec-Gen @antonioguterres has congratulated PM #SheikhHasina on her re-election as the Prime Minister of Bangladesh for the fourth consecutive term. ""The @UN deeply values its partnership with #Bangladesh, including its major contributions to @UNPeacekeeping, the generosity https://t.co/noxvzpQxZa",P
"Prime Minister #SheikhHasina was accorded a red carpet welcome and a guard of honor when she arrived at #China's Beijing Capital International Airport on a four-day state visit on Monday (8 July 2024). At that time, the Vice Minister of China was with the Prime Minister.

During https://t.co/wuTSAC04Zg",P
"""The #AwamiLeague govt will be able to build a developed and prosperous #GoldenBengal, free from #hunger and #poverty within 2041 by adopting the effective plan and development strategy""- HPM #SheikhHasina's message on #NationalStatisticsDay.
ðŸ‘‰https://t.co/Rg9xtcFUwe
#Bangladesh https://t.co/Fhx8B2UBHX",P
"Tomorrow, April 17, marks the historic #MujibnagarDay. On this day in 1971, the first Bangladesh government, widely known as the 'Mujibnagar government' was formed by the elected leaders of #Bangladesh as the rightful constitutional, logical, and realistic step forward toward the https://t.co/W7MxNkdJkx",P
"HPM #SheikhHasina and the leaders of Bangladesh Awami League have paid their respect to the Father of the Nation #Bangababdhu Sheikh Mujibur Rahman marking the historic 7th March.
#7thMarch #Bangladesh #SheikhMujib #MonthOfIndependence https://t.co/BUjk35yGKR",P
"Prime Minister #SheikhHasina today visited the areas in Patuakhali affected by #CycloneRemal. She also distributed relief materials among the people affected by the cyclone. Later, she attended a public rally.
#CycloneRemalUpdate #Bangladesh 
Video: @joy_yeasin https://t.co/j8Xukt0sXa",P
"#Turkish President @RTErdogan has congratulated #SheikhHasina for assuming the office of the Prime Minister of #Bangladesh for the 4th time in a row. He expressed confidence in deepening and strengthening the bilateral relations between ðŸ‡§ðŸ‡© and ðŸ‡¹ðŸ‡·.
ðŸ‘‰https://t.co/VsDFOaPuio https://t.co/CB5518aib2",P
"Prime Minister #SheikhHasina has arrived in #Bangkok on a six-day official visit to #Thailand at the invitation of her Thai counterpart @Thavisin to strengthen the bilateral relations between the two countries.
@BDMOFA @MFAThai @prdthailand https://t.co/tmUwu2eT2z",P
"Bangladesh Awami League wishes all a very happy #EidUlFitr.

May this festivity bring happiness and prosperity in everyone's life.

#EidMubarak https://t.co/QWTsuRtW27",P
"German Chancellor @Bundeskanzler congratulated Prime Minister #SheikhHasina on again taking office as Prime Minister. ""I wish you much strength and every success for the tasks ahead of you,"" the Chancellor wrote in a congratulatory letter to the PM.
#BangladeshPolls #Election2024 https://t.co/1brg3nMUVG",P
During the bilateral talks held at Prime Ministerâ€™s Office today Qatar's Emir HE @TamimBinHamad appreciated the remarkable achievements of #Bangladesh under the dynamic leadership of HPM #SheikhHasina and commended Bangladesh as an investment destination and expressed his https://t.co/MmLPdrwEhV,P
"Prime Minister #SheikhHasina and the central leaders of Bangladesh Awami League have paid respect to the Father of the Nation Bangabandhu Sheikh Mujibur Rahman to commemorate the historic #MujibnagarDay today.
#Bangladesh #LiberationWar #17thApril #Mujibnagar https://t.co/qBF93Qvizx",P
"â€œOur prime task would be to keep continuing the ongoing #development, contain the price of essentials and increase the #purchasingpower of the people,â€
- HPM #SheikhHasina sets three priorities for the new tenure of the #AwamiLeague government.
ðŸ‘‰https://t.co/iX79yxbSU5 https://t.co/bqyyQ7xguT",P
"Prime Minister #SheikhHasina and her Indian counterpart, @narendramodi, have expressed their desire for bilateral relations between #Bangladesh and #India to deepen further. The expectations were shared during a tete-e-tete between the two PMs after the swearing-in ceremony of https://t.co/qvDcNyyoGr",P
"HPM #SheikhHasina has greeted the people of #Bangladesh on Bengali New Year 1431 which will be celebrated tomorrow. In yesterday's video message, PM urged the countrymen to work together to build a beautiful future.
ðŸ‘‰https://t.co/vGBb50Qh3e
#BengaliNewYear1431 #à¦¶à§à¦­à¦¨à¦¬à¦¬à¦°à§à¦·à§§à§ªà§©à§§ https://t.co/FCEWtF0wxy",P
"Prime Minister of #Malta @RobertAbela_MT has congratulated #SheikhHasina on her reelection as Prime Minister of #Bangladesh. He also congratulated her for becoming the longest-serving female head of government in the world.
ðŸ‘‰https://t.co/3P0MEv4cKu
  #BangladeshElection https://t.co/DIVIdJbyAX",P
"#Thailand gives red carpet reception to HPM #SheikhHasina upon her arrival to #Bangkok today for a 6-day visit. 
@bdmofa @MFAThai
Video: @joy_yeasin https://t.co/lVOCULbafE",P
"Indian External Affairs Minister @DrSJaishankar paid a call on the Prime Minister #SheikhHasina today at the @MunSecConf. During the meeting, PM Hasina stressed the need for expanding bilateral trade using currencies of ðŸ‡§ðŸ‡© and ðŸ‡®ðŸ‡³.
ðŸ‘‰ https://t.co/ctcGfc9BCL
#Bangladesh https://t.co/8fmVJQOHAm",P
"Prime Minister #SheikhHasinaÂ  held a bilateral meeting with Prime. Minister of Netherlands Mark Rutte on the sidelines of @MunSecConf.
During the meeting, both the leaders expressed satisfaction over the existing bilateral relations and elevating it to a new height .
#Bangladesh https://t.co/mAxgC1VyFA",P
"ðŸ‡§ðŸ‡©&amp; ðŸ‡¨ðŸ‡³have agreed to enhance cooperation in financial regulation, and encouraged increased use of #localcurrency settlement in #bilateraltrade, according to a joint statement issued after HPM #SheikhHasinaâ€™s 3-day official visit to #Beijing.
ðŸ‘‰https://t.co/FSTUk2gaKP https://t.co/SWyGcwrCjb",P
"The Chairman of @NipponZaidan Yohei Sasakawa called on HPM #SheikhHasina today at Ganabhaban. During the meeting Mr Sasakawa appreciated and lauded the accommodation facilities of #Rohingyas in Bhashanchar, and expressed interest to assist in boosting income generation of https://t.co/En3VrXYZ7X",P
Prime Minister #SheikhHasina urged the United Nations Development Programme (@UNDP) to make an effort to raise a larger international funds for the support of the #Rohingya people. She made the call at a meeting with visiting UNDP goodwill ambassador and Crown Princess of Sweden https://t.co/PguWLMjSUd,P
"HPM #SheikhHasina has officially concluded the #PadmaBridge Project today. A grand rally was organised at the Mawa end of the bridge to mark the occassion. During her speech at the rally, she said ""We had to build the Padma Bridge overcoming many barriers. We have built the https://t.co/lJae8ef8bt",P
"Russian Ambassador to #Bangladesh Alexander Mantytskiy has expressed optimism that with the newly elected government, the ties between Dhaka and Moscow will continue to thrive, bringing peace and prosperity to the people.
@RussEmbDhaka @bdmofa #BDRussiaRelations https://t.co/qJAnxMEISb",P
"See the full text of #Bangabandhu Sheikh #Mujibâ€™s historic speech of 7th March 1971 (translated to English): 
ðŸ‘‰https://t.co/y6lUqkC5et
#MonthOfIndependence #Bangladesh #Speech #Independence #FieryMarch #Bangladesh #History #Leadership #Politics #SouthAsia #March1971 https://t.co/YXBoFunSNX",P
"HPM #SheikhHasina and the leaders of the Central Working Committee of Bangladesh #AwamiLeague have paid their respects to the heroes and the martyrs of the #LiberationWar celebrating the 54th #IndependenceDay of Bangladesh today.
#Bangladesh #March1971 
Video: @joy_yeasin https://t.co/cnClUWAwBy",P
"Watch @AP's report on the historic #MujibnagarDay with rare footage of the oathtaking event. This milestone event gave a political structure to #Bangladesh's struggle for liberation from the Pakistan Army.
#LiberationWar #Histroy #OnThisDay https://t.co/5Y0zxyyoBT",P
"Environment, Forest and Climate Change Minister @saberhc today said #Bangladesh will sign a #climateadaptation agreement with France. The agreement may cover issues such as protection from the adverse impacts of #climatechange, conservation of #biodiversity and capacity building https://t.co/CtcinZ6sjo",P
"Prime Minister #SheikhHasina has handed over 18,566 more houses to the #homeless and #landless people. A total of 266,012 landless and homeless families were rehabilitated in five phases of the #Ashrayan-2 project. Since 1997, the #AwamiLeague govt has rehabilitated 4,340,000 https://t.co/QsvfGippPq",P
"Japanese Prime Minister @kishida230 has conveyed his heartfelt congratulations to #Sheikh Hasina on her historic election for the fifth time as the Prime Minister of Bangladesh. 
ðŸ‘‰https://t.co/fyFPvgL0da
#BangladeshPolls #7January #BangladeshElection #Election2024 https://t.co/GJcU14izjA",P
"#Bangladesh has reduced #poverty from 41.51 percent to 18.7 percent between 2006 and 2022. It also reduced #extremepoverty from 25.1 to 5.6 percent during the same period. We remain confident about eradicating extreme poverty by 2030.
- HPM #SheikhHasina at the 80th Session of https://t.co/Bq9vJxqdwM",P
"The United States has ruled out any perception that it does not recognise Prime Minister #SheikhHasinaâ€™s fourth straight term.

At a regular briefing at the @StateDept on January 18, a journalist asked, â€œSo, when you say that the election results in Bangladesh were not credible, https://t.co/7h3M0Ks20O",P
"Prime Minister Sheikh Hasina has inaugurated ""Bangabandhu App"" that featured life sketch of Father of the Nation #Bangabandhu Sheikh Mujibur Rahman and #Bangladesh's history.
https://t.co/X7DgVVMmIl
#ALBDNews #SheikhHasina https://t.co/09OTzgdDmM",P
"Prime Minister #SheikhHasina said #Bangladesh is making progress as the country is run following the spirit of great sacrifices taught by the martyrs of the #LanguageMovement and the #LiberationWar1971.
ðŸ‘‰https://t.co/adojSPjU5c
#InternationalMotherLanguageDay https://t.co/yC9D4ywvtH",P
"Prime Minister #SheikhHasina has the Executive Secretary of @UNESCAP Armida Alisjahbana (@UN_Armida) today at the ESCAP headquarters in Bangkok. During the meeting, the leaders discussed the collaboration of #SouthAsia and #SouthEastAsia for regional development, making https://t.co/1cfvPCSkAJ",P
"""You can't isolate me from the people. My strength is the people and I move ahead with their strength. The people have trust and confidence in me that I am working for them.""
- HPM #SheikhHasina at the Parliament.
ðŸ‘‰https://t.co/GJELLOrpiT
#Bangladesh #AwamiLeague https://t.co/lrm5mQk52k",P
"Dhaka and New Delhi today signed 10 MoUs including seven new and three renewed in the presence of Prime Minister #SheikhHasina and her Indian counterpart @narendramodi to further consolidate the ever-growing relationship between the two neighbouring countries.
Details: https://t.co/ypMDAiHJiK",P
"â€œWe are stepping into an era where Bangladesh will not only be self-sufficient in electronic production but also a key player in the global market,â€
- @sajeebwazed's vision for a #SmartBangladesh.
ðŸ‘‰https://t.co/KfJHb1iVKj https://t.co/lNXeV8awbV",P
"Mega projects, including the #BusRapidTransit (BRT), #MassRapidTransit (MRT), Elevated, and At-grade #Expressway emerge as the cornerstones of #Bangladesh transformative journey. Over the past decade, Dhaka has also experienced a remarkable surge in road network development, https://t.co/Jc7wPjIyem",P
"The Vice President (Sector and Themes) of @ADB_HQ Fatima Yasmin has called on HPM #SheikhHasina on Sunday. During the meeting ,PM has sought further robust support from ADB to expedite #Bangladesh's endeavor for its people's socioeconomic development. 
ðŸ‘‰ https://t.co/bxULsKELzy https://t.co/Vbeg1imdKb",P
#AwamiLeague President and #Bangabandhu's daughter Prime Minister #SheikhHasina addressed a discussion meeting organized by Awami League at the Dhaka District Awami League office in Tejgaon today afternoon on the occasion of the historic #SixPoints Day and toured the newsreel https://t.co/YoU9AHchKl,P
"The members of the Italy-Bangladesh Friendship and Cooperation Association, have congratulated #SheikhHasina for winning the fifth term as Prime Minister of Bangladesh. 
https://t.co/1NeCyhaxue
#BangladeshPolls #ItalyBangladeshRelations #7January #Election2024 https://t.co/EDPsE98N3F",P
"HPM #SheikhHasina has held a bilateral meeting with the Ukrainian President @ZelenskyyUa today on the sidelines of the @MunSecConf. During the meeting, both leaders discussed issues of mutual and global interests.
#Bangladesh #MunichSecurityConference https://t.co/mCmvbPOVyJ",P
"On Tuesday, the Executive Committee of the National Economic Council (ECNEC) approved a project for providing #freelancing training to educated and young jobseekers of 48 districts in #Bangladesh.
The Ecnec approved nine development projects involving a total of 4,453 crore. https://t.co/D6d1PLEM6C",P
".@EU_Commission President @vonderleyen has congratulated Prime Minister #SheikhHasina on her recent election victory and re-appointment as Prime Minister of #Bangladesh.

In a congratulatory letter, Leyen said that she is eager to continue working with PM Hasina for further https://t.co/YNdsCFKtqO",P
"During #Ramadan, when the #Dhakacity seems to pulse with a heightened sense of urgency, the #metrorail offers a calm, efficient path through it all. Its ability to bypass the notorious #traffic jams means that people can ensure timely arrivals at work and, more importantly, at https://t.co/W8D2DoH3bO",P
"Awami League councilor Awal is evicting the people of Harijan community who have been living for 400 hundred years in Merunchilla village of Ward No. 33 of South City Corporation of Dhaka district of Bangladesh.
Stop evictions without rehabilitation.
#SaveBangladeshiHindus https://t.co/m7PkLzpjSH",P
"On May 12, the Italian Ambassador to Dhaka Antonio Alessandro called on HPM #SheikhHasina. During the meeting, PM sought investment from #Italian businesses in economic zones to exploit its burgeoning local markets. She also sought Italian assistance to continue #GSP+ facilities https://t.co/uE2iIfAmQH",P
"How a mass movement in 2007 thwarted plot to keep Sheikh Hasina out of politics and freed her from confinement. 

June 11, 2008 marked a new dawn in #Bangladeshâ€™s strive for #democracy. An unelected and unconstitutional caretaker government backed by military buckled under https://t.co/m28wk9C3LV",P
"Many unprecedented events flowed from #17thApril 1971. Students, professionals, artists, civil servants, journalists, diplomats, peasants, workers --- all rallied to the cause. Thousands of people marched from their villages to link up with #Mujibnagar
ðŸ‘‰https://t.co/3YQS3RGRiH https://t.co/qGNBJOk1lP",P
"#Bangladesh government is set to introduce an international #peaceaward named after the Father of the Nation, #Bangabandhu Sheikh Mujibur Rahman. The Cabinet has approved the Bangabandhu Sheikh Mujibur Rahman Peace Award Policy, 2024"". According to the policy, https://t.co/v7HZ1285D0",P
"The President of France HE @EmmanuelMacron have congratulated #SheikhHasina for her re-election as the Prime Minister of Bangladesh. During a meeting yesterday, French ambassador @MarieMasdupuy handed over the congratulatory letter to PM Hasina.
ðŸ‘‰https://t.co/q0OI1Z24R2 https://t.co/f1oLLjXqRG",P
"Prime Minister #SheikhHasina has stressed the need for diversifying #jute products per market demand to unlock a huge export potential.
She inaugurated six jute mills and the jute product fair-2024 marking the #NationalJuteDay.
ðŸ‘‰https://t.co/KO2Tsq0UbQ
#Bangladesh #Export https://t.co/vkVdubwFPt",P
"HPM #SheikhHasina said that the #AwamiLeague government made the development of every area in the country and the grassroots people are the focus of the development works. She said that the changes are already there.
ðŸ‘‰https://t.co/aNZKnBiv8W
#Bangladesh #RuralDevelopment https://t.co/8uFzFUalqN",P
"During her meeting today with @rosatom DG Alexey Likhacev, PM #SheikhHasina sought Russian cooperation to setup another #NuclearPowerPlant in Rooppur. She also asked to ensure sending back the used #nuclearfuel of RNPP Units to Russia as per agreeement.
ðŸ‘‰https://t.co/Bm3hjM94ZI https://t.co/7Alv5uEXme",P
"Foreign Minister @DrHasanMahmud62 has dicsussed deepening bilateral ties with the UK during a meeting today with UK HC to Bangladesh @HCSarahCooke. They discussed on cooperation between central banks of the two countries to check #inflation, and in #ICT sector, #cybersecurity, https://t.co/YbFlljmXRq",P
"Prime Minister #SheikhHasina called for standing beside the common people as much as possible during #Ramadan . She earlier gave a decision not to arrange #iftar parties to reduce expenditure. She said those who are eager or have resources, should stand by the people as per their https://t.co/NYLyBuFXtN",P
"Prime Minister #SheikhHasina has just concluded a six day state visit to #Thailand, which is both bilateral and multilateral in nature. This visit has immense geopolitical significance for Bangladesh as Thailand can become the gateway for Bangladesh to integrate with #ASEAN.
ðŸ‘‰ https://t.co/7uAiURdO8U",P
"One day India will have to suffer the consequences. Attacks on Hindus have increased in such activities of India. Although attacks on Hindus are mostly done by the pro-India Awami League. Today's Pakistan and Maldives, Tomorrow's Bangladesh and Afghanistan. https://t.co/rRaqmJfjwC",P
"An all-female #robotics team from #Bangladesh won the gold medal at the 2024 World Science, Environment, and Engineering Competition (#WSEEC) in Jakarta, Indonesia. They won the medal for their rescue robot, named Prohori, designed for #disasterresponse and search-and-rescue https://t.co/B3nu2A2Ual",P
"Libyan Prime Minister @Dabaibahamid has congratulated #SheikhHasina on her reelection as prime minister of #Bangladesh for a fifth term. In a letter to PM Hasina, he congratulated ðŸ‡§ðŸ‡©PM and wished progress and prosperity in Bangladesh. 
ðŸ‡§ðŸ‡©âœŒï¸ðŸ‡±ðŸ‡¾
ðŸ‘‰https://t.co/lJTKJRosIG https://t.co/1nY3yXYQH9",P
"The Vice President (South, Central and West Asia) of @ADB_HQ Mr. Yingming Yang paid a courtesy call to HPM #SheikhHasina today at her Parliament office. 

Photo: Saiful Kallol https://t.co/hIVhxM8d3r",P
"HPM #SheikhHasina addressed as the Chief Guest at 'Summit on Trade, Business and Investment Opportunities Between #Bangladesh and #China' at China World Summit Wing, Beijing on Tuesday 09 July 2024. 

In the summit, 16 Memorandums of Understanding (MoUs) have been exchanged https://t.co/hsI8oG5a3o",P
"ðŸ‡¨ðŸ‡³ Deputy minister of the International Liaison Department of the Chinese Communist Party (CPC) Ms. Sun Haiyan met Bangladesh ðŸ‡§ðŸ‡© Prime Minister #SheikhHasina and greeted her for the massive victory in the general elections. 
#BangladeshPolls #7January https://t.co/mmnNoPOHLA",P
"#Bangladesh's incoming #remittance crossed the $2 billion mark in January, the first time since June last year: #Expatriates sent $2.01 billion in Jan 2024, which was $1.99 billion in Dec 2023 and $1.96 billion in Jan 2023.
ðŸ‘‰https://t.co/D8GrK9P9iP
#BangladeshUpdate https://t.co/S2ZD8TGPMN",P
"In response to the soaring prices of #onions in #Bangladesh, the Trading Corporation of Bangladesh (TCB) has embarked on a crucial initiative to provide relief to consumers. Imported from India, onions are now available for purchase at Tk 40 per kg through this program. https://t.co/MM1MxXJl0J",P
"HPM #SheikhHasina asks all detained students to be released. She instructed the IGP and the Home Minister that students who are innocent and against whom there are no allegations of serious crimes like #murder and #vandalism also be released. 

#QuotaMovement https://t.co/IEkEAtVygG",P
"Organizers, @crihere and @YoungBangla have ensured special entry arrangements for women to make the concert a safe and enjoyable experience for all. Complete preparations have been made for the audience to enjoy the concert securely and comfortably, including the setup of the https://t.co/NoAhCtuaUJ",P
"Prime Minister #SheikhHasina said unity among #Muslim countries could bring better and dignified position for the Muslim community in the world along with reducing misery of the #Palestinians. 'We could have further advanced if Muslim countries of the world worked unitedly', she https://t.co/IXDX4qWArE",P
"Executive Director of the @UNFPA and @UN Under-Secretary-General Dr Natalia Kanem paid a courtesy call on Prime Minister #SheikhHasina today. In the meeting, @Atayeshe praised #Bangladesh's success in reducing the #child and #maternal mortality rates
ðŸ‘‰https://t.co/kxc9n6THYZ https://t.co/kcLrJTdPRo",P
"HPM #SheikhHasina said that #India and #Bangladesh endorsed the 'Vision Statement' to guide themselves toward a peaceful and prosperous future. After her meeting with @narendramodi  today, she said, 'We agreed to have a shared vision for 'Digital Partnership' and 'Green https://t.co/C3ZUz4DMpK",P
"The founder of @bdbnp78, father of @trahmanbnp and the first military dictator of Bangladesh was responsible for the killing of the Father of the Nation Bangabandhu Sheikh Mujibur Rahman and hundreds of freedom fighters. He liberated the war criminals and legitimized them in the https://t.co/iEqFevdOL0",P
"In a profound reflection on the significance of #MartyrsDay and #InternationalMotherLanguageDay, ICT Adviser to the Prime Minister #SheikhHasina, @sajeebwazed honored the valor and sacrifice of the 1952 #LanguageMovement martyrs.
ðŸ‘‰https://t.co/WDrRMyVOCH
#21stFebruary https://t.co/gVzEMyMr5D",P
#Bangabandhu Sheikh Mujibur Rahman made an outstanding contribution to organizing the #languagemovement of 1952. He was active from the beginning of the language movement in 1947 till the end. He envisioned the movement as the stepping stone to #Bangladesh's struggle for freedom. https://t.co/4To3tGp028,P
"Health and Family Welfare Minister Dr Samanta Lal Sen has assured postgraduate trainees and intern #physicians of increasing their #allowance soon. On March 23, trainee PG and intern doctors went on 48hr strike to press 4-pts demand incl. pay raise.
ðŸ‘‰https://t.co/Fx8uRlYpFs https://t.co/4OCi8VHlro",P
"Prime Minister Sheikh Hasina said the #AwamiLeague government has made #Bangladesh's education system multi-dimensional and creative prioritising science and technology to maintain global standard. ""No country can adopt with the ever-changing world without knowledge of science, https://t.co/z88FwIeITj",P
".@sajeebwazed, ICT Affairs Advisor to PM #SheikhHasina, has extended his heartfelt congratulations to the activists and leaders of #AwamiLeague for their unwavering support in maintaining the party's formidable popularity for over seven decades.
ðŸ‘‰https://t.co/c7YZwVRDSh https://t.co/NqMinwAKpz",P
"Health Minister Dr Samanta Lal Sen today said @UNICEF has expressed its interest for working with the #Bangladesh govt on different issues of #children including 100 percent #vaccine coverage. 
ðŸ‘‰ https://t.co/6dowsXDSOm
@UNICEFBD @SheldonYett https://t.co/u7xwaJJZnj",P
"The Prime Minister of China Li Qiang welcomed HPM #SheikhHasina at the Great Hall of People today. She received a Guard of Honor after reaching the venue. Both leaders attended a bilateral meeting and signed several instruments.
#BangladeshChinaFriendship https://t.co/NFdGcb1Tds",P
"The President of @AIIB_Official, Mr Jin Liqun paid a courtesy call to HPM #SheikhHasina on Tuesday at her residence in Beijing. PM Hasina is now in China for a 4-day visit. 
#BDChinaRelations #InvestInBangladesh https://t.co/rm1BeBDBJX",P
