full_text,Sentiment
"Our Nobel laureate Dr. Yunus ordered 40 tons of RDX explosives from Pakistan. On the other hand, America wants a Jamaat-e-Islami government in Bangladesh to keep India under pressure.Because India is buying oil from Russia and meanwhile Sheikh Hasina was pro-Russian.People of",N
"""It is clear that there was an official policy of enforced disappearances and arbitrary detention under Sheikh Hasina's regime, and it is telling that Arman was released immediately upon her fleeing to India.""  https://t.co/sfQyLDYBho",N
"India should ensure that Sheikh Hasina comes back to power in Bangladesh.

The Bangladesh election is very important for India.

It's the battle between CIA ,MSS,ISI vs R&amp;AW.",N
"In a 2000 interview with the Los Angeles Times, Sheikh Hasina praised the microcredit program for its transformative impact on Bangladesh's economy and women's empowerment. However, by 2010, she criticized Muhammad Yunus, calling him a usurer exploiting the poor. https://t.co/OB05Mzx8nm",N
"CJI DY Chandrachud and his wife Kalpana Das with Bangladesh PM Sheikh Hasina.

CJI is in Dhaka to deliver the keynote address at the South Asian Constitutional Courts conference in Bangladesh. https://t.co/dd85jKUJip",O
Sheikh Hasina is a killer and liar. Watch the details from Prapti Taposhi. What a bold and courageous interview with DW! #Bangladesh #SaveBangladeshiStudents https://t.co/HeN4lPKgA2 via @YouTube,N
"Bangladesh votes tomorrow. India will hope incumbent PM Hasina returns to power. Sheikh Hasina and her AL party have been a friend to India. Under Hasina, Bagladesh is politically and economically stable. This is good for India as China controlled Myanmar is on the boil. India",P
"USA trying to carve a Christian nation in South Asia? A violent Manipur and Sheikh Hasinaâ€™s caution: How the dots align

https://t.co/0O4295qYP0",O
"Bangladesh is in turmoil. They have no leader to replace Sheikh Hasina. Yunus may be well-meaning, but he has zero political or administrative experience. 

So every leader is trying to knife every other leader. But they are united in two aspects: one, tormenting their",P
Sheikh Hasina sure seems to be playing US/CIA on the front foot. https://t.co/gdNkJyj1J4,P
The court sentenced Dilip Sarkar to three months imprisonment. His fault is that he prevented the construction of a mosque in his land. BD Govt  is taking revenge for Babri Masjid by grabbing Hindu land and building a mosque there. Thanks to India for supporting Sheikh Hasina.,N
"Two very good articles in the @nytimes worth reading for an overview of the current situation in Bangladesh. Here is the first one,  published on July 23. 

-------------
An Unbending Leaderâ€™s Crackdown Rains Carnage on Bangladesh
Prime Minister Sheikh Hasinaâ€™s response to",O
"A minor Hindu girl was abducted in front of her family in Gopalganj, Bangladesh. Gopalganj is Sheikh Hasinaâ€™s constituency .",N
"Our beloved Sheikh Hasina arrested 10 Hindus. Because they stood against the attack on the Kali temple in Faridpur.
#HinduHatredInBangladesh",N
"Adm Dinesh K Tripathi #CNS, on an official visit to #Bangladesh, called on HE Sheikh Hasina, Honâ€™ble Prime Minister of Bangladesh on #02Jul 24.

During discussions, the PM of Bangladesh recalled &amp; appreciated #India's contribution to Bangladeshâ€™s War of Liberation in 1971. 

#CNS https://t.co/sq6SiCsAfX",P
"Can you believe?

Newslaundry busy shaming Sheikh Hasina supporters in ""Bangladeshi godi media"" !!

LOL

Will Newslaundry dare to call Biden's bootlickers in American pro-regime media like NYT as ""godi media""?

Liberals can only bully the weak, they grovel before the strong. https://t.co/uBcp5fGCNm",N
"Bangladesh elections: Main opposition party and allies to boycott vote

The main opposition party is boycotting the vote, after Prime Minister Sheikh Hasina rejected their demand that she should resign and hand power to a neutral authority. She is running for a fourth consecutive https://t.co/uuWokslj9W",N
"#Bangladesh 
Minorities are not safe in Muslim-majority Bangladesh. 

Sheikh Hasina failed to provide security to the Hindu and Buddhist minorities.

In #Rangunia area of #Chattragram district, unknown miscreants burnt a Buddhist temple. 

No one arrested.
And India is silent. https://t.co/OcOEY5ue3W",N
"Sheikh Hasina announced the construction of 560 model mosques. But mosques are being built occupying the land of Hindus. When Dilip Sarkar interrupted the construction of a mosque on his land, he was arrested by the police and charged with communal riots. https://t.co/eFc47OI5qu",N
"The WSJ reports India's inclusion in a Canadian inquiry on election interference, aligning with China and Russia. India's involvement has also surfaced in Bangladesh's election interference to keep Sheikh Hasina in power. The Bangladeshâ€™s ruling FM publicly asserts India's https://t.co/wTkkCkrraQ",N
"Earlier, I told you how I was stumped by deposits amounting to $2.76 million over a two-month period in the Malaysian bank account of Mrs Shaheen Siddique, the wife of Tarique Ahmed Siddique, the security advisor of Sheikh Hasina. 

Today, I am trying to solve another mystery: https://t.co/xDB9HJQMJ0",N
"Sheikh Hasina has hated the Pakistan army all her life, but look at the turn of events: she has become so similar to Pakistanâ€™s army
Shame on her for killing the youth of her nation. Keep raising your voice for Bangladesh ðŸ‡§ðŸ‡© https://t.co/dPXxkTSfQD",N
"Sheikh Hasina has been sworn-in as the Prime Minister of Bangladesh for the fourth consecutive term â€“ the fifth overall - after she led Awami League party to a massive victory 7 January's parliamentary election.
President Mohammed Shahabuddin conducted the oath of office and https://t.co/MMs6bHw5wp",O
"At the first hour of #21stFebruary, Prime Minister Sheikh Hasina an d the central leaders of Bangladesh Awami League have paid respect to the martyrs of the #LanguageMovement by placing wreaths at the Central Shaheed Minar in Dhaka.
à¦†à¦œ à§¨à§§à¦¶à§‡ à¦«à§‡à¦¬à§à¦°à§à¦¯à¦¼à¦¾à¦°à§€ à¦ªà§à¦°à¦¥à¦® à¦ªà§à¦°à¦¹à¦°à§‡ à¦•à§‡à¦¨à§à¦¦à§à¦°à§€à¦¯à¦¼ https://t.co/ObWXbExiNv",P
"Islamic jihadists set fire to Kali temple in Faridpur. As the Hindus resisted the attack on the temple, the police arrested 10 Hindus on the orders of Sheikh Hasina.Sheikh Mujibur Rahman's daughter proved that Muslims are never secular. https://t.co/QxDwqFpOnA",N
"Glad to meet with Prime Minister Sheikh Hasina to discuss #Bangladeshâ€™s investment in primary health care, particularly to advance womenâ€™s and childrenâ€™s health. We also discussed the importance of strengthening the health workforce, as well as the ongoing negotiations on the https://t.co/kyI7EG2ADZ",P
Congratulations ðŸŒ¹ @TulipSiddiq https://t.co/QzEhfcp8AD,O
"Sinking under debt: the hidden costs of Chinese investments. #Bangladesh eyes Chinese loans for nine road and railway projects, an issue likely to surface during PM Sheikh Hasinaâ€™s upcoming visit to #China. https://t.co/v4XN2Sx0Io",O
"Indians think they have pro-Indian Sheikh Hasina for their country's security. When Hindu girls in Bangladesh are converted and Hindu temples are attacked, their country's government doesnâ€™t  react. But they don't  know that there is a bigger conspiracy in Bangladesh than in Pak. https://t.co/XTjEmGycXU",N
"'India out' campaign gains momentum in Bangaldesh and Sheikh Hasina regime is worried!
Modi has made India friendless in South Asia. https://t.co/HSGfvHijDq",N
"â€œHindus in Bangladesh are facing yet another threat of genocide at the hands of Islamists.

Following Prime Minister Sheikh Hasina's removal from power, Bangladeshi Hindus have been raped or murdered, their properties and temples attacked, burnt down, and looted.

This is not the",N
"Earnest appeal to Smt Sheikh Hasina, PM of Bangladesh to protect the human rights of indigenous minority Kuki-Chins of Bangladesh by arranging Constitutional Autonomy for the Kuki-Chin tribals of Bangladesh.

@albd1971 https://t.co/aV5FYwh5rt",N
"HPM Sheikh Hasina and the members of the newly formed cabinet have paid respect at tge National Monument today. 
#Bangladesh #AwamiLeague #SheikhHasina #BangladeshPolls https://t.co/fDOJfc9KkN",P
"If you want to understand the nature of judicial independence in Bangladesh (or lack thereof), read no further than the Bangladesh prime minister, Sheikh Hasina's comment about the supreme court hearing taking place tomorrow. She said: ""I earnestly request all to wait with",N
"This photograph, tweeted by the Additional Directorate General of Public Information of the Indian Army Headquarters @adgpi categorically refutes the recent claim made by Bangladesh's Prime Minister Sheikh Hasina regarding the late President Ziaur Rahman.

Ms. Hasina cast her https://t.co/f6iFSMXFIO",N
"""Tell the Sheikh Hasina's government, and the courts of Bangladesh to drop these baseless charges. And end the harassment of Professor Yunus and others, once and for all. Let Bangladesh shine by doing the right thing for someone who has dedicated his life to serving others."" https://t.co/sTxqolQkJJ",N
"I had a wonderful meeting with the Turkish Head of the Communications Department (information minister), Mr. Fahrettin Altun, in Istanbul on the sidelines. I have conveyed the best wishes of the Honorable Prime Minister Sheikh Hasina to the President and the First Lady of Turkey https://t.co/m2KtJJJN0h",O
"Both Mamata Banerjee and Sheikh Hasina yelling, â€˜Joy Banglaâ€™! Both women have covered their heads. What does it indicate?
For Hasina it is her national slogan and covering her head is dictated by her religion. But for Mamata?",O
"President #Putin congratulates Prime Minister Sheikh #Hasina on her re-nomination

à¦†à¦¶à¦¾ à¦•à¦°à¦¿, à¦¸à¦°à¦•à¦¾à¦°à¦ªà§à¦°à¦§à¦¾à¦¨ à¦¹à¦¿à¦¸à§‡à¦¬à§‡ à¦†à¦ªà¦¨à¦¾à¦° à¦­à§‚à¦®à¦¿à¦•à¦¾ à¦¬à¦¾à¦‚à¦²à¦¾à¦¦à§‡à¦¶-à¦°à¦¾à¦¶à¦¿à¦¯à¦¼à¦¾ à¦—à¦ à¦¨à¦®à§‚à¦²à¦• à¦¦à§à¦¬à¦¿à¦ªà¦¾à¦•à§à¦·à¦¿à¦• à¦¸à¦®à§à¦ªà¦°à§à¦• à¦†à¦°à§‹ à¦œà§‹à¦°à¦¦à¦¾à¦°à§‡ à¦­à§‚à¦®à¦¿à¦•à¦¾ à¦°à¦¾à¦–à¦¬à§‡à¥¤
à¦†à¦ªà¦¨à¦¾à¦•à§‡ à¦¸à§à¦¸à§à¦¬à¦¾à¦¸à§à¦¥à§à¦¯, à¦®à¦™à§à¦—à¦² à¦“ à¦¸à¦¾à¦«à¦²à§à¦¯ à¦•à¦¾à¦®à¦¨à¦¾ à¦•à¦°à¦¿à¥¤

https://t.co/AKzRqXOezl https://t.co/f23MzAJ61R",O
"Today is 7th January, 2024. It's 1am in #Bangladesh. Another midnight election just began there in the name of national election. Sheikh Hasina's partymen has already started stamping the ballots. 

Last time they were able to stamp 60% of the total votes during the midnight https://t.co/Zgs1bTlzI2",N
"Prime Minister Sheikh Hasina and the members of the newly formed cabinet have paid their respect to the Father of the Nation Bangabandhu Sheikh Mujibur Rahman at his mausoleum in Tungipara, Gopalganj. 
#Bangladesh #AwamiLeague #SheikhHasina #BangladeshPolls #BangladeshElection https://t.co/X7QxAYBvZS",O
"TENS of THOUSANDS have FLOODED the streets of Dhaka, Bangladesh to protest against the quota system for government jobs.

PM SHEIKH HASINA = A MASTERCLASS IN VOTE RIGGING, CORRUPTION, &amp; AUTHORITARIANISM.
 https://t.co/jMu7bGnAJU",N
"Our fight is not against Indian people. Our fight is not against any religion. 

Our fight is against Indiaâ€™s blind support for autocratic Sheikh Hasina and her party Awami League.

Our fight is to restore democracy and voting rights in Bangladesh - which Sheikh Hasina took away https://t.co/8JqhFTEZkc",N
The condition of Faridpur is very bad. Muslims are planning something big. Muslims set fire to the temple so Hindus beat them.Bcz the attack on many temples hasnâ€™t  been prosecuted before.But Sheikh Hasina targeted only Hindus and arrested them and put them in jail.@UN @ihcdhaka https://t.co/OrK3fHNmZ8,N
"BNP Jamaat Politics of burning people alive stood exposed yet again 

Scores of victims who fell prey to arson attacks since October 28 have publicly held #BNP #Jamaat combine responsible and thanked prime-minister Sheikh Hasina for her steps to ensure cost effective treatment https://t.co/UJEq3UdapV",P
"On 10th January night, Islamists brutally murdered a Hindu youth named Badhulal Das. Badhulal was a resident of  Helarkandi village,  Habiganj of Bangladesh. Most attacks on Hindus in Bangladesh took place during Sheikh Hasina's tenure. @USAmbBangladesh @UNinBangladesh https://t.co/ogEDE7EOI7",N
"""Jaishankar held a meeting on Saturday with Bangladesh PM Sheikh Hasina, during which he commended her guidance in advancing the 'India-Bangladesh Maitri' relationship.""
https://t.co/bRX5skAy74",O
"President of Peopleâ€™s Republic of China Mr Xi Jinping congratulates Bangladesh PM and Awami League President Sheikh Hasina for her big win in the 12th National Parliamentary Election.
#Bangladesh #AwamiLeague #SheikhHasina #BangladeshPolls #BangladeshElection #Election2024 https://t.co/tZVuTaSLfn",O
"Dhaka, 19 January 2023: The United Nations Secretary-General, AntÃ³nio Guterres, has extended heartfelt congratulations to Prime Minister Sheikh Hasina on her re-election as the Prime Minister of the Government of Bangladesh.
Â 
In a letter, he has commended the Prime Minister for https://t.co/DPOzL79oNo",O
"Prime Minister Sheikh Hasina has held a meeting today with the Prime Minister and Foreign Minister of Qatar Mohammed bin Abdulrahman bin Jassim Al Thani at the Hotel Bayerischer Hof in Munich. 
@MunSecConf @QatarEmb_dhaka @MofaQatar_EN 
#SheikhHasina #Bangladesh https://t.co/wQgTwikRHO",O
"Amb Charles Whiteley paid a courtesy call today on Hon. Prime Minister, Sheikh Hasina, MP, which included an exchange on bilateral and global issues. https://t.co/LTGJGJZVoX",O
"Time since assumed office (in days):

ðŸ‡¬ðŸ‡¶ Teodoro Obiang: 16,275 days
ðŸ‡®ðŸ‡· Ali Khamenei: 15,473 days
ðŸ‡·ðŸ‡º Vladimir Putin: 8,964 days
ðŸ‡¹ðŸ‡· Recep Tayyip ErdoÄŸan: 7,651 days
ðŸ‡¸ðŸ‡¬ Lee Hsien Loong: 7,134 days
ðŸ‡¦ðŸ‡ª MB Rashid Al Maktoum: 6,586 days
ðŸ‡§ðŸ‡© Sheikh Hasina: 5,526 days
ðŸ‡°ðŸ‡µ Kim Jong-un:",O
"'PM Narendra Modi is fully behind Sheikh Hasina becoming PM again â€“ the longest-serving woman PM in the world. Itâ€™s certainly not easy to stand up to the powerful US, but Modi seems to be doing it for Hasina'

@jomalhotra writes in #GlobalPrint

https://t.co/NX7N8ibi3E",N
Observing a concerning trend of anti-India narratives propagated by certain rivals of Sheikh Hasina in Bangladesh. Clear communication and fact-based dialogue are essential to maintain strong and positive bilateral ties. ðŸ‡§ðŸ‡©ðŸ¤ðŸ‡®ðŸ‡³,O
"Bangladesh PM Sheikh Hasina, Seychelles VP Ahmed Afif Arrive In Delhi For Swearing-In Ceremony Of PM Modi

https://t.co/og0P9mJl7h https://t.co/0J1XRmAbYI",O
Guterres congratulates Sheikh Hasina | News Flash | Bangladesh Sangbad Sangstha (BSS) https://t.co/UHPYmC10Yj,O
"India must heed Sheikh Hasinaâ€™s caution on Christian nation, track Westâ€™s regime-change moles in #Bangladesh and the region.
~ My piece in â¦@CNNnews18â© https://t.co/e9xfxHq37m",O
"Congratulations to President Mohammed Shahabuddin, Prime Minister Sheikh Hasina and the people of Bangladesh on the occasion of the Independence Day of Bangladesh.

May we continue to strengthen the bonds of friendship and cooperation between our countries. ðŸ‡½ðŸ‡°ðŸ‡§ðŸ‡© https://t.co/ijcFxXoJn1",O
'Sheikh Hasina came to power for the fourth time through electoral fraud' -- Says Freedom House. https://t.co/pHnIm6Kzqx,N
"USA trying to carve a Christian nation in South Asia? A violent Manipur and Sheikh Hasinaâ€™s caution: How the dots align
https://t.co/sYoTIrns6q",N
"1. Voter frustration is at an all-time high after three successive controversial elections.
2. Sheikh Hasina has foreshadowed the possibility of further crackdowns on the BNP, telling supporters the party â€œhas no right to do politics.â€

https://t.co/2hjtpHEl4a",N
"My take on #Bangladesh PM Sheikh Hasinaâ€™s recent visit to #India in which I have highlighted the significant opportunities but also challenges 
https://t.co/VzLMPRKYa7 https://t.co/EApBhB9Ji7",O
"The state of democracy in Bangladesh is contentious, to say the least, and arguably deviates from all conventional definitions. Even Sheikh Hasina, the Prime Minister, acknowledges that democracy can take different forms regionally.

In most democracies, it is rare for prominent https://t.co/56WpOjcIXs",N
"Sheikh Hasina set to retain power in upcoming Bangladesh election. What does it mean for India

Pia Krishnankutty @pia_kutts reports

#ThePrintForeignAffairs

https://t.co/TKyp9Bz5GM",O
"At 18, in 2006, I left Nigeria to South Asia.

Met the lovely Professor Rafique Ullah Khan, who took me in. 

He is a Bangladeshi academic and the first vice-chancellor of Sheikh Hasina University.

He is a professor of Bangla at the University of Dhaka. https://t.co/aIPjqBvq31",O
How the floods are looking in #BangladeshFlood â€¦.. guess Sheikh Hasinaâ€™s Bras came in handy keeping them afloat!   ðŸ˜ŽðŸ˜ŠðŸ˜Ž https://t.co/uUycXO1m9Y,O
"HPM Sheikh Hasina has met the President of the @WPLeadersOrg @skochmehrin today at her hotel in Munich. PM is visiting Germany to attend the @MunSecConf from 16 to 18 February.
#MunichSecurityConference #Munich #Bangladesh #AwamiLeague #SheikhHasina https://t.co/Fnalek973W",O
"Held a fruitful meeting with HE Dr Tawfiq-e-Elahi Chowdhury, Advisor to Prime Minister of Bangladesh at #IndiaEnergyWeek2024 in Goa today.

PM @narendramodi Ji &amp; President Sheikh Hasina Ji had jointly inaugurated the India-Bangladesh Friendship Pipeline in March 2023. 

As part https://t.co/C7ePNWr3ic",O
"Prime Minister Sheikh Hasina has addressed the nation ahead of the election, urging Bangladeshis to vote #AwamiLeague to power for a fourth consecutive term.

â€œIf we have made any mistakes along the way, we ask you to look on it with kind and forgiving eyes,â€ the premier said in https://t.co/DRDDkWVaJd",O
"Delightful to meet PM Sheikh Hasina today. I briefed her on @TheCVF's work &amp; we agreed to focus on attracting investments to the Mujib Prosperity Plan - the first, completed CVF 'climate prosperity plan'. I congratulated her on her election win, in which turn out was very good. https://t.co/pcyVhIjnOm",P
@_pallavighosh @AITCofficial Doesnâ€™t matter. Sheikh Hasina already representing Bangladesh ðŸ˜,P
"Bangladeshi PM Arrives in India Ahead of PM Modi's Swearing-In Ceremony

Prime Minister Sheikh Hasina arrived in New Delhi on Saturday to attend Sunday's event as a guest of Indian Prime Minister Narendra Modi. https://t.co/i74XqqjD39",O
"HPM Sheikh Hasina said that no one can take away #Palestinians' right to land in #Gaza. During the inauguration of the #Hajj program 2024, she highlighted the miseries of #Muslims in Palestine. She said '#Genocide is being carried out there where no children, women or men are https://t.co/zAUhwoVen8",P
"Reflect upon a remarkable juxtaposition spanning 45 years: an election conducted under Ziaur Rahman, often branded as military dictator contrasted with one overseen by Sheikh Hasina, her followers hails as a democratic luminary. 

Rewind to the 20th of February, 1979, when https://t.co/maseeFvk4s",N
"This video is not from today and is not related to anything concerning Hindus. The video is from August 5 and shows a police building. It is the office building of DB South, Dhaka Zilla, located in Keraniganj, Dhaka.

 People attacked this building after the fall of Sheikh Hasina https://t.co/PkRrYXWbKQ",N
"#FirstpostFlashback: Personal loss, exile, arrest, persecution: Sheikh Hasina has seen it all in her political career that spans more than half a century. As she stands on the brink of yet another term as PM of Bangladesh, @Palkisu brings you her life story on Flashback https://t.co/ZOZHp6ppET",O
"""à¦à¦–à¦¾à¦¨à§‡ à¦•à¦¥à¦¾ à¦¬à¦²à¦¾ à¦¨à¦¿à¦·à§‡à¦§""à¥¤ à¦•à¦¿à¦¨à§à¦¤à§ à¦­à¦¿à¦¡à¦¿à¦“ à¦•à¦²à§‡ à¦¸à¦®à¦¸à§à¦¯à¦¾ à¦¨à¦¾à¦‡à¥¤ ðŸ¤£

à¦¬à¦¾à¦•à¦¶à¦¾à¦² à§¨.à§¦ à¦¸à¦™à¦¸à¦¦à§‡ à¦°à¦™à§à¦—à¦®à¦žà§à¦š à¦¶à§à¦°à§ à¦¹à¦¯à¦¼à§‡à¦›à§‡à¥¤

Sheikh Hasina's MPs who were elected through fake elections are sitting in parliament and enjoying. The video shows an MP chatting with his girlfriend on a video call.

These MPs https://t.co/pmGOaCxiz6",N
"He is the secretary general of dictator Sheikh Hasina's party. Also a senior minister in her cabinet. 

He attached 14482 photos in a single Facebook post. Can you imagine? Sheikh Hasina is running her party and government with such mentally challenged people.

They have turned https://t.co/cxDpCFsvqx",N
"Bangladeshi Hindus shouting ""Jai Shree Ram"" in ramnavmi rallies in chattagram, Bangladesh

Many of Bangladeshi Hindu youth are also shouting "",Har har Modi, Ghar Ghar Modi"" ðŸ¤£ðŸ¤£

It seems Modi ji is more famous than Sheikh Hasina in Bangladeshi Hindus",N
"BANGLADESH

= NO OPPOSITION

= NO PROBLEM.

In Bangladesh, PM Sheikh Hasina stays firmly seated on the throne for the FIFTH time following Januaryâ€™s elections. https://t.co/yQUp4HO6OX",O
"Bangladesh Prime Minister #SheikhHasina calls on President #DroupadiMurmu at Rashtrapati Bhavan in New Delhi. 

Welcoming Prime Minister Sheikh Hasina, the President says that she was delighted to meet her again, just a few days after the swearing in ceremony of the new https://t.co/cxY2xFId5E",P
"Time for Sheikh Hasina Wajid is up. 
Even if she succeeds in quelling these protests, mark has been made on her survival. 

Time for a change in Bangladesh.",N
"Decline in Bangladeshâ€™s foreign reserves, potential Chinese debt and Rohingya crisis: Here is why Sheikh Hasinaâ€™s visit to India is significant

https://t.co/UdoWvuKSAs",O
"Japanese Prime Minister @kishida230 has conveyed his heartfelt congratulations to #Sheikh Hasina on her historic election for the fifth time as the Prime Minister of Bangladesh. 
ðŸ‘‰https://t.co/fyFPvgL0da
#BangladeshPolls #7January #BangladeshElection #Election2024 https://t.co/GJcU14izjA",O
"In Sheikh Hasina's own district Gopalganj-1 constituency clash of Awami league candidates and Awami league independent candidates occurred today. Clash, bombings and killings are becoming everyday news.#ElectoralViolence #StepDownHasina https://t.co/GdH8TVnteX",N
"Challenges for Sheikh Hasina in her fifth term. 

https://t.co/aovqcRgxlY",N
"Prime Minister Sheikh Hasina has inaugurated ""Bangabandhu App"" that featured life sketch of Father of the Nation #Bangabandhu Sheikh Mujibur Rahman and #Bangladesh's history.
https://t.co/X7DgVVMmIl
#ALBDNews #SheikhHasina https://t.co/09OTzgdDmM",O
"Midnight ballot stamping -
Sheikh Hasina's party agents entered the polling station in Mymensingh at night.

#NoElectionUnderHasina #SaveBangladesh

@State_SCA
 @SecBlinken
 @usembassydhaka
 @EU_Commission
 @AfreenAkhter
 @geoffreymacdon
 @KerryKennedyRFK
 @JuttaUrpilainen https://t.co/Wmxqo6QMZc",N
Bangladesh's dictator Sheikh Hasina's party @albd1971 is trying to divert public attention from the recent fraudulent &amp; sham elections to personal attacks and character assassination of the country's great leaders including the late President Ziaur Rahman. But no matter how hard https://t.co/j7Km9AP84d,N
Well done to the @AusWomenCricket team on a stellar effort during the historic first bilateral tour of Bangladesh! Thank you to the Honourable Prime Minister Sheikh Hasina and @BCBtigers for supporting #womenscricket and look forward to the T20 World Cup #BANvAUS https://t.co/izkZyl4J35,P
"ðŸ—£ï¸ ""What's happening in Gaza is genocide""

Bangladeshi Prime Minister Sheikh Hasina denounces Gaza events as genocide, emphasizes need for Palestinian statehood and UN resolution implementation https://t.co/nGqrPXFMS3 https://t.co/x23Q6IiHNa",O
"Elsie from the Australian High Commission was delighted to greet Prime Minister Sheikh Hasina on International Mother Language Day.

In Australia there are more than 250 Indigenous languages including around 800 dialects. https://t.co/L0bJJiYAAm",P
Had the honour to see Hon. Prime Minister Sheikh Hasina off at the airport on her way to the Munich Security Conference #MSC2024. Highly important meeting for global leaders in challenging times! Wished her a safe flight and fruitful talks. https://t.co/cqFpBlr1lG,P
"Two major problems for Bangladesh: 

India 
Sheikh Hasina (BAL) 

#IndiaOut 
#BoycottIndia 
#BoycottIndianProducts 
#SaveBangladeshFromIndia 
#StepDownHasina 
#HasinaOut https://t.co/T2FSlELdpH",N
"Their Majesties and Their Royal Highnesses visited the State Guest House to spend time with Her Excellency Prime Minister Sheikh Hasina and her family.

ðŸ“¸ Royal Court of Bhutan https://t.co/rfWPJXdB6J",P
"""Amin is one of many Bangladeshis inspired by an ""India Out"" campaign launched by an activist on social media in January after Prime Minister Sheikh Hasina was returned to power for a fourth consecutive term in a one-sided election""

#IndiaOut #BoycottIndia and https://t.co/bk0NCYtpK5",N
"Chief Justice of India DY Chandrachud to deliver the key note address at the South Asian Constitutional Courts conference in Bangladesh

Seen here with Prime Minister of Bangladesh Sheikh Hasina

#SupremeCourt #Bangladesh https://t.co/gxHaQLiuFP",O
"Bangladesh FM Muhammad Hasan Mahmud @DrHasanMahmud62: We have been enjoying an excellent relationship between Bangladesh and India under the leadership of PM Sheikh Hasina &amp; IndianÂ PM Modi. In fact, these two leaders, relationships have gone to a new height. https://t.co/UCqF5tSo84",P
"My prediction about BANGLADESH,
Bangladesh may witness MILITARY COUP  between August 2025 to March 2026,
Prime Minister SHEIKH HASINA going to face  several assassination attempts in that same time period ðŸ™ https://t.co/a6eACv8Q9w",N
"Prime Minister Sheikh Hasina is going on a visit to France. Progress will also be made with France on the purchase of 10 Airbus aircraft, 1 satellite contract and defense assistance, particularly the purchase of Rafale fighter jets for Bangladesh Air Force. https://t.co/jxyMftC26X",P
The Sheikh Hasina govt returned in #Bangladesh for 4th consecutive term after main opposition parties boycott elections saying it was not a fair process. Authorities suppressed dissent including by arbitrarily arresting govt critics @hrw #Rights2024 https://t.co/TsMW0Zt3rM https://t.co/vfbKMY4jbj,O
